		Eggs		Hatching rate (%)	
Day from population start	Day post GD release	Cage A	Cage B	Cage A	Cage B
70	-56	2576	2681	86.1	93.5
73	-53	1719	1061	90.5	83.6
76	-50	555	50	80.1	-
80	-46	2925	948	92.5	88.2
84	-42	977	494	93.8	93.5
87	-39	2818	3188	98.0	93.8
91	-35	3570	1389	89.5	80.6
94	-32	428	92	77.8	-
98	-28	1703	1338	93.9	95.7
102	-24	1767	1567	90.9	96.7
105	-21	646	985	88.4	91.3
108	-18	2837	868	94.5	96.6
112	-14	812	342	93.9	-
115	-11	249	2972	-	95.0
119	-7	1821	2195	92.1	95.4
122	-4	2178	1564	94.5	96.0
126	0	1228	1109	96.0	96.0
130	4	476	1129	89.4	96.4
